candidate_id,has_contacted,has_replied,history_appearances,exp_years,salary_expectation
cand_001,0,0,5,5,154774.04
cand_002,0,0,1,9,272549.09
cand_003,0,1,2,5,133315.08
cand_004,1,0,3,2,205640.78
cand_005,0,0,3,5,204818.47
cand_006,0,0,1,8,205776.24
cand_007,1,1,0,4,304647.58
cand_008,1,1,4,7,195071.09
cand_009,1,1,4,8,245286.19
cand_010,1,0,2,7,142888.39
cand_011,0,1,1,9,368151.93
cand_012,1,0,0,4,296498.23
cand_013,0,1,4,10,230478.62
cand_014,1,0,1,4,107654.01
cand_015,1,0,4,4,157406.73
cand_016,1,0,0,2,228740.27
cand_017,0,0,1,4,217218.29
cand_018,0,0,1,3,180636.75
cand_019,1,1,2,7,280727.42
cand_020,0,0,4,8,238352.5
cand_021,1,0,4,4,227109.22
cand_022,0,1,3,3,240058.61
cand_023,1,0,2,2,276322.37
cand_024,1,0,1,5,123702.88
cand_025,1,1,2,1,102398.08
cand_026,1,0,0,2,290531.0
cand_027,1,0,2,4,251039.47
cand_028,0,1,0,3,254590.44
cand_029,1,0,1,8,197909.82
cand_030,1,1,5,9,217512.52
cand_031,1,1,3,10,387586.04
cand_032,0,1,3,2,291356.89
cand_033,0,0,3,7,275793.39
cand_034,1,1,3,8,283965.59
cand_035,1,0,1,5,149913.76
cand_036,0,1,3,7,164860.02
cand_037,0,0,3,3,269117.32
cand_038,1,1,2,4,287648.19
cand_039,0,0,1,4,181664.19
cand_040,1,0,4,7,224506.81
cand_041,0,1,1,5,200600.63
cand_042,0,1,4,10,297639.93
cand_043,1,1,3,5,296378.62
cand_044,0,0,1,4,287501.09
cand_045,1,0,4,10,381845.73
cand_046,1,1,5,4,110431.18
cand_047,0,1,4,7,271749.46
cand_048,1,0,3,3,253970.15
cand_049,0,1,4,10,299092.77
cand_050,1,1,4,5,229389.85
cand_051,1,1,0,2,149954.89
cand_052,1,1,5,8,177121.94
cand_053,1,1,0,4,161529.18
cand_054,1,0,5,8,132683.14
cand_055,1,1,0,10,288244.8
cand_056,1,0,4,7,217731.7
cand_057,0,0,5,4,154197.9
cand_058,1,1,0,4,159640.33
cand_059,0,0,2,3,105595.8
cand_060,1,1,4,9,243112.3
cand_061,0,1,4,1,241926.67
cand_062,1,1,3,6,178822.45
cand_063,0,1,0,6,161794.92
cand_064,1,1,0,4,154757.05
cand_065,0,1,4,1,198068.29
cand_066,1,1,3,8,364384.58
cand_067,1,1,0,5,270252.24
cand_068,0,0,4,7,162191.99
cand_069,0,1,0,3,202113.22
cand_070,1,0,0,8,311922.68
cand_071,1,0,4,2,137110.37
cand_072,0,0,2,1,144220.5
cand_073,0,1,4,3,141610.21
cand_074,1,1,5,5,205640.6
cand_075,1,0,5,7,172666.98
cand_076,1,0,5,4,236846.75
cand_077,0,0,2,6,284575.25
cand_078,0,1,3,5,275174.24
cand_079,1,0,3,1,138207.38
cand_080,1,0,4,9,198017.71
cand_081,0,0,0,1,146507.83
cand_082,1,0,3,2,266477.71
cand_083,1,0,3,5,141554.05
cand_084,0,0,4,4,228840.88
cand_085,0,0,1,1,157714.39
cand_086,1,1,2,9,270277.16
cand_087,0,1,3,7,278040.96
cand_088,1,1,4,9,189012.19
cand_089,1,1,3,7,208893.35
cand_090,0,1,0,6,300518.78
cand_091,0,1,4,5,180395.08
cand_092,1,0,2,10,175324.55
cand_093,1,1,2,1,120932.36
cand_094,1,0,2,5,269183.03
cand_095,1,1,5,7,226729.4
cand_096,1,1,0,4,184501.11
cand_097,0,1,5,7,147377.87
cand_098,1,0,3,2,272615.76
cand_099,0,1,5,6,121056.21
cand_100,0,1,1,2,196664.39
